Feature\Sample,CSM5FZ3N_P_profile,CSM5FZ3T_P_profile,CSM5MCVB_P_profile,CSM5MCU4_P_profile,CSM5MCWA_P_profile,CSM5MCWK_P_profile,CSM5MCXF_P_profile,CSM67U9V_P_profile,CSM67U9X_P_profile,CSM67UCU_P_profile,CSM67UAI_P_profile,CSM79HHO_profile,CSM79HH2_P_profile,CSM79HG7_P_profile,CSM79HHW_P_profile,CSM79HKX_profile,CSM79HJI_P_profile,CSM79HNY_P_profile,CSM7KOQP_P_profile,CSM7KOTO_profile,ESM5MEDZ_P_profile,ESM5GEYX_P_profile,ESM5GEYY_P_profile,ESM5MEDN_profile,ESM5MEB9_P_profile,ESM7F5AE_P_profile,ESM718U9_P_profile,HSM5FZBQ_P_profile,HSM5MD4U_P_profile,HSM5MD4B_P_profile,HSM5MD7Z_P_profile,HSM5MD8J_P_profile,HSM5MD8F_P_profile,HSM5MD3L_P_profile,HSM5MD5X_P_profile,HSM6XRQB_P_profile,HSM6XRR3_profile,HSM67VID_profile,HSM7CYWS_P_profile,HSM7CZ2V_P_profile,HSM7J4Q1_profile,HSM7J4J7_profile,HSM7J4LP_profile,HSMA33IE_profile,MSM5LLDI_profile,MSM5FZ9N_P_profile,MSM5FZ9X_P_profile,MSM5LLHR_P_profile,MSM5LLIC_P_profile,MSM5LLIS_P_profile,MSM5LLFG_P_profile,MSM5LLF2_P_profile,MSM6J2RG_P_profile,MSM79HBX_P_profile,MSM9VZLX_P_profile,MSM9VZM4_P_profile,MSM9VZJJ_P_profile,PSM6XBQM_P_profile,PSM6XBRK_P_profile,PSM6XBRM_P_profile,PSM6XBVY_P_profile,PSM7J1BJ_profile,PSM7J1B3_P_profile,PSM7J13I_profile,PSM7J4EF_profile
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides,84.06638,95.6901,88.40419,73.96156,9.07729,66.52086,52.71337,70.07975,84.79827,54.83136,0.0,53.46195,38.03469,55.40296,82.98085,73.57182,38.56476,75.05446,3.27227,71.68482,70.77339,40.77796,60.80267,73.71348,45.80992,41.58643,53.78049,28.04023,81.28697,26.71956,66.42432,48.35211,59.3298,30.35935,57.48488,38.07542,82.44037,12.92,67.4771,79.64907,36.74631,85.86547,0.0,55.61012,68.34595,1.66058,0.18157,67.7412,25.04913,4.88792,54.00286,8.64018,73.04679,35.12036,83.82236,68.82605,71.45248,64.40433,74.17548,81.37673,49.63556,0.0,29.91885,79.85107,56.26773
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella,0.0,0.0,0.0,0.0,3.6844,0.0,0.0,0.0,0.32172,0.01242,0.0,0.0,23.44718,0.0,0.00234,0.0,8.87209,0.19592,0.0,0.0,0.0,0.0,4.82281,0.0,21.92536,36.04216,0.0,52.31311,0.0,0.0,0.0,29.10061,0.0,0.0,0.22207,1.16786,0.0,69.28751,1.09166,3.22582,0.0,0.0,0.0,0.0,0.0,3.10071,18.22873,0.48928,0.0,88.69699,0.03631,1.23027,0.01105,0.0,0.0,0.11918,0.0,0.07642,0.00519,0.0,0.0,0.0,23.60734,0.00436,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium,5.292,0.0,0.26344,0.00778,0.65437,5.93656,8.19133,2.606,2.90601,3.08883,0.0,5.14193,0.63406,5.36858,0.19579,6.70506,3.19844,3.67754,0.0,5.58988,14.98459,15.2679,10.14821,5.67555,7.36913,3.77059,2.97854,0.5777,0.0,19.79018,9.90415,1.54831,15.45545,17.0991,18.83248,0.06742,2.94269,3.72221,15.54608,3.25107,13.34437,2.02281,0.0,0.01115,0.85246,0.73045,1.10961,3.95919,14.33762,3.18977,9.357,1.85864,16.21799,8.86113,7.01526,8.67981,3.33385,22.14348,5.33786,1.86118,4.52141,0.0,1.85292,3.23982,8.15367
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes,0.0,0.0,0.39577,0.0,0.40849,11.38705,5.27239,13.86026,2.71543,34.29268,0.0,11.60454,4.37156,17.62429,4.69434,0.01331,6.80149,0.00206,0.0,0.0,0.0,16.30724,1.07324,8.3121,0.0,2.93727,0.0,4.26832,0.0,0.0,12.02589,1.69412,0.0,18.66256,0.0676,0.0,0.42314,1.789,3.00419,2.87773,25.10181,0.00175,0.0,12.83113,14.70459,0.2425,0.0,5.92463,4.70826,0.02503,10.47302,0.0,0.816,0.29322,0.0171,4.22087,0.51279,1.44503,0.06095,4.52086,11.3923,0.0,1.63009,5.54945,1.49131
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia,5.01599,0.24929,0.1289,1.99038,11.82816,4.21735,0.9543,0.87094,1.60755,0.52138,10.0963,1.09222,0.84801,0.04738,0.00313,8.10229,6.14305,0.2608,0.0,0.27066,0.0541,3.60636,0.57181,0.16948,1.65333,0.61507,0.16784,0.0,2.6601,12.07436,1.16933,2.91763,2.29058,0.30986,1.58247,9.46589,0.40573,0.84909,2.58964,0.56848,0.50579,0.11649,0.0,0.11327,0.0,1.45466,39.5193,6.49113,34.51126,0.83565,5.72015,0.17904,0.13656,0.00378,0.10864,12.71171,4.17067,0.29453,2.84583,3.21484,0.72773,0.0,0.96645,0.0,0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides,0.0,0.0,0.42211,0.0,0.39944,2.83354,5.03862,1.68897,1.82376,2.81163,0.0,5.71436,2.65179,4.8007,0.0,1.50833,3.06901,3.37334,0.0,2.47041,6.67261,4.60382,1.86709,0.04991,9.56581,5.98978,1.03742,8.13915,0.0,28.0715,3.35475,7.25678,10.58232,0.12446,2.65187,0.00285,9.88561,1.72787,2.28309,4.69971,7.47133,5.25075,0.0,19.29586,12.84693,0.27167,0.20708,3.97538,3.33524,0.37433,5.52126,0.39314,1.04278,41.98595,5.6117,0.0,5.65179,2.18721,5.22327,1.52523,16.08021,0.0,1.76798,2.39039,1.07835
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella,0.0,0.0,0.0,0.0,30.66357,0.00698,0.0,0.0,0.03497,0.0,3.85202,0.0,0.0,0.0,0.03734,0.01549,1.29623,0.0,15.13254,0.0,0.44926,0.65291,2.32589,0.03411,0.01012,0.0,0.43785,1.30727,1.03942,2.2539,0.07967,0.0,0.0,0.03126,4.31077,0.0,0.0,0.0,0.0,0.0,0.90445,0.0267,0.0,0.0,0.0,20.25799,0.44008,0.00962,0.0164,0.0,0.0,42.38002,0.80019,0.01202,0.0,0.0,0.01905,6.15742,0.06699,0.03212,0.67444,33.30838,0.0,2.24417,0.23004
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia,0.00278,0.0,7.10202,0.0,15.6315,0.04614,0.31117,0.32858,0.02714,0.25732,21.08468,0.0,0.71834,0.0,0.01876,5.95494,17.77863,0.0,40.54464,0.0,0.0,0.0,0.47886,0.02439,1.49873,0.00882,7.56249,1.14402,1.50046,0.04187,0.08399,0.0,1.02565,0.10764,0.35452,0.0,0.0,0.2414,0.0,0.43732,0.0,1.44645,0.0,0.02926,0.04775,0.01423,0.6121,0.00892,0.00845,0.0,0.1463,5.75679,0.0,0.0,0.0,0.0,4.21719,0.0,0.0,0.0143,0.0,8.56931,25.53446,0.0,2.00431
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia,0.4441,0.00359,0.0915,0.35195,1.71703,0.17921,0.60686,0.05252,0.1292,0.00468,0.52998,0.04871,0.04197,0.02765,6.71322,0.04298,3.47079,1.12053,4.23676,0.48158,0.64068,0.1426,0.508,1.42634,3.33482,0.58611,0.0,1.65919,2.94062,0.04097,0.08601,0.44177,1.21533,4.80538,1.24012,14.09863,0.08364,0.03564,0.09522,0.39703,0.00769,0.42521,0.0,0.06614,0.19516,1.79501,0.57846,0.3499,0.12836,0.04404,0.66567,4.61601,0.01459,0.30983,0.09048,1.88539,0.66811,0.19841,0.1061,0.77895,0.94353,0.50332,0.12256,1.01529,0.8709
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified,0.0,0.06919,0.0178,0.0,0.32979,0.52441,14.76546,0.1546,1.06781,1.32014,2.37683,0.17263,0.48085,0.08715,1.16551,0.58135,0.03836,5.32313,0.0,11.24909,3.00229,0.07751,0.0,1.55249,0.70111,0.44317,0.0,0.10646,0.0,0.93681,0.18587,0.0,0.38641,4.62046,0.0685,0.0,0.27155,0.0,0.25513,0.03527,2.79299,0.16595,0.0,0.11082,0.0,0.0,2.26415,0.7515,1.24511,0.39325,1.22053,0.0,0.0,0.0,0.5242,0.14319,0.47949,0.01696,0.04145,0.0,0.0,0.0,0.52697,0.00997,0.68998
