Feature\Sample,CSM5FZ4E_P_profile,CSM5FZ4A_P_profile,CSM5MCUQ_P_profile,CSM5MCTZ_P_profile,CSM5MCXB_P_profile,CSM5MCYU_P_profile,CSM67U9T_P_profile,CSM79HNE_profile,CSM7KOP6_profile,CSM79HQR_P_profile,CSM7KOQ5_P_profile,CSM7KOUJ_P_profile,ESM5MEEJ_P_profile,ESM5MEAB_P_profile,ESM5MEC7_P_profile,HSM5MD87_P_profile,HSM6XRQE_P_profile,HSM7CZ1T_P_profile,HSM7CZ2X_P_profile,HSM7J4JT_P_profile,HSM7J4JV_P_profile,HSMA33NW_profile,MSM5LLHV_P_profile,MSM5LLIQ_P_profile,MSM6J2N6_P_profile,MSM79HF1_P_profile,MSM79H9U_P_profile,MSM79HBZ_profile,MSM79HD6_P_profile,MSM9VZN4_P_profile,MSM9VZLZ_profile,MSM9VZJF_P_profile,MSMA267V_profile,PSM6XBSE_P_profile,PSM6XBSG_P_profile,PSM7J1BV_profile,PSMA264O_profile,PSMA265X_profile
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides,73.25938,91.9707,62.28106,67.35915,30.56246,5.81599,77.89941,12.07733,55.62745,20.67701,65.24765,93.72785,61.4395,58.02539,77.53823,49.6905,7.78401,78.04816,61.99839,19.39936,11.08383,66.92474,46.51828,75.94925,4.17544,12.61219,9.80873,4.65116,64.99207,63.21659,0.0,9.3905,24.00412,55.39263,56.17795,63.05494,19.82405,76.00673
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella,0.0,0.0,0.0,0.0,0.06871,50.96176,0.27805,0.0,0.0,0.0,0.0,0.2733,0.0,0.0,1.4029,0.13709,69.15517,0.0,0.0,56.02382,70.69275,0.34924,1.30899,0.0,83.26406,6.11059,72.25499,0.0,0.08012,0.02386,0.0,15.51741,0.0,0.0,20.37449,17.01922,62.99708,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium,3.15531,0.65194,6.19741,10.49334,4.04269,6.15558,0.08545,4.93329,3.65784,30.44215,19.35195,1.44224,15.13316,15.35095,3.1661,23.96203,4.05519,3.37604,1.22317,10.5654,3.82396,2.3781,5.05891,0.0,1.74621,8.4342,3.42028,20.33041,7.45858,6.11215,0.0,20.64951,14.15026,11.69586,12.26965,1.15464,5.45849,10.06162
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes,8.38408,0.0,5.83191,5.60156,1.96032,0.0,0.01484,6.32947,24.46252,0.0,0.24359,0.03408,0.0,0.05053,2.17364,0.07215,0.0,0.95643,0.0,0.0,3.07481,7.0016,18.66293,0.0,1.57452,0.30619,0.73991,0.0,16.4897,0.53959,0.0,0.15923,4.27164,0.41609,0.53984,2.46516,0.0,1.29684
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia,0.0,0.12337,0.45596,1.18624,31.09598,0.49972,0.473,72.06041,0.02483,9.35197,2.22146,0.37702,7.71943,0.57437,5.42461,3.75817,0.0,5.21361,0.02949,2.81286,2.2034,2.34803,0.10726,0.0,0.02312,36.92002,2.99373,0.0,5.32721,7.63757,0.0,14.94879,7.63924,15.35781,1.4906,1.88731,6.83868,0.72248
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides,4.8321,3.84889,8.56823,1.45114,0.18629,0.68697,14.66337,0.0,8.13252,1.52617,0.10187,1.64928,12.4769,10.29557,4.86335,8.8255,0.0,6.97049,13.80794,4.87666,2.3296,10.25023,2.01622,0.0,0.42387,3.04892,0.75424,0.0,1.44572,1.06063,0.0,1.05243,1.91152,0.84661,3.29661,6.57564,1.48535,3.13721
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella,0.0,0.0,0.0,0.0,0.97971,0.0,0.0,0.0,0.0,3.91048,0.20253,0.0,0.2136,0.15731,0.17831,0.38772,0.0,0.0,1.23455,0.0,0.2994,0.0,0.0,0.0,0.08986,0.0,0.0,31.97113,0.0,0.13316,47.44238,0.0,0.0,0.68895,0.0,0.0,0.176,0.00919
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia,0.0,0.0,0.76006,0.0,1.04395,0.05531,0.0,0.0,0.09352,1.16315,0.01386,0.0,0.0,0.23611,0.80331,0.7416,0.0,0.10218,2.02913,0.21385,0.0,2.74335,0.59794,0.0,0.0,0.57311,0.11132,25.67488,0.0,0.0,0.0,1.22846,0.0,0.0,0.0,0.0,0.0,0.01153
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia,0.59915,0.00115,0.14111,0.3238,1.76042,0.0,2.13325,0.13907,0.2372,2.56991,0.44035,0.02873,0.00391,0.80143,0.25681,0.05907,0.0,0.23373,0.94984,0.00882,0.11886,0.43915,0.16758,17.58158,0.02112,0.53082,0.06081,0.0,0.03411,0.08184,0.0,4.09848,0.5388,1.83747,0.68604,0.08279,0.07377,1.15447
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified,0.0,0.31218,0.19677,1.2587,0.21744,11.77651,0.0,2.78685,0.27483,3.62295,4.74627,0.02652,0.0,0.0,0.13335,0.23302,0.82388,0.0,11.53209,0.09543,1.70059,0.0,0.79425,0.0,0.44193,10.44033,1.05943,0.0,0.35567,0.92304,0.0,2.12102,0.04293,5.9781,1.54162,0.08062,0.17723,1.17472
