Feature\Sample,CSM67UH7_profile,ESM5GEYU_P_profile,HSM5MD8A_P_profile,HSM5MD82_P_profile,HSM5MD8H_P_profile,HSM5MD5Z_P_profile,HSM6XRQC_P_profile,HSM67VDX_P_profile,HSM67VDR_P_profile,HSM67VDT_P_profile,HSMA33NY_profile,CSM6J2H9_P_profile,MSM6J2JF_P_profile,MSM6J2JH_P_profile,MSM6J2PO_profile,MSM6J2Q1_profile,MSM79H52_P_profile,MSM79H5E_profile,MSM79HCG_profile,MSM79H8D_profile,MSM79H94_P_profile,MSM9VZFJ_P_profile,MSM9VZMM_profile,MSM9VZL5_profile,PSM6XBTR_profile,PSM6XBW1_P_profile,PSM6XBW3_profile
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides,26.45228,62.98227,56.65418,25.57966,47.5359,80.17586,84.47654,48.83519,57.27258,76.38494,38.73492,54.06963,59.57506,8.15617,46.52358,70.67838,29.13009,33.33641,79.06868,65.73316,89.01007,66.12186,85.05078,67.07799,85.88558,20.33662,0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella,0.0,0.0,0.00411,29.85572,0.0,0.0,0.0,0.3529,0.0,0.0,22.59693,0.0,1.73362,63.70461,0.0,0.0,0.0,22.02469,0.0,0.0,0.27993,0.02115,0.0,0.0,0.0,54.67531,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium,2.56247,5.69094,0.16018,18.82372,19.07506,0.91288,0.0,0.82468,6.76059,1.0509,11.11449,16.2146,2.08791,6.80062,25.16781,7.79955,0.18336,4.21664,6.39226,2.91484,0.22384,4.91392,4.26499,9.47224,2.15938,5.03276,0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes,2.02527,0.0,0.89444,11.74184,0.61531,13.3506,0.0,6.78411,3.58744,10.0695,5.08715,8.56199,0.22448,1.91709,1.00699,4.17202,10.05092,7.64324,6.54652,8.74828,6.21389,10.75878,4.02501,3.97466,2.65605,6.08199,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia,0.83165,4.13543,16.30484,0.00584,0.66053,0.0,0.12691,1.10031,14.66072,0.19479,0.81267,8.31978,0.50177,2.59247,5.14408,1.61158,0.12421,2.57392,1.40925,3.67733,0.00531,3.03326,0.68899,9.72586,0.62854,0.34226,0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides,0.80596,0.0846,7.8194,1.095,0.0,4.75095,0.0,6.85562,6.31282,7.10944,3.5245,2.88881,4.626,2.57807,4.7005,1.97953,7.83745,4.94533,0.0,8.55573,2.4391,4.77982,0.74358,4.10908,4.17783,3.41598,0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella,0.0,4.63792,0.45738,0.01447,0.0296,0.0,7.36273,0.0,0.08159,0.00192,0.0,0.00311,0.52654,0.0,1.09995,0.23173,0.0,0.0,0.70772,0.03076,0.0,0.0,0.01008,0.0,0.0,0.00672,11.76285
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia,0.0,1.88062,1.05748,0.43958,0.0,0.0,0.95931,0.41592,0.01514,0.04001,2.88324,0.0,0.59703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12941,0.12819,0.0,0.0,0.0,0.0,16.83888
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia,0.3451,0.27422,2.32715,0.40479,2.30724,0.0,3.87601,10.7668,0.34965,0.2278,0.23683,0.06112,0.34993,0.09073,3.14864,0.05008,0.69327,0.08272,0.07176,0.10993,0.0132,0.09064,0.03563,0.09843,0.01433,0.7047,23.84407
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified,0.4536,5.51649,0.18159,0.0,11.17577,0.0,0.29825,1.09377,0.10414,0.67644,0.17905,1.09845,0.13037,1.37697,0.09108,0.31894,0.0,0.46636,0.93565,2.76751,0.0,1.16583,0.00525,0.29155,1.5887,0.50244,0.0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia,54.69974,0.0,0.0,0.08727,0.1209,0.0,0.0,0.0,0.0,2.11957,0.0,0.0,20.99007,0.0,0.0,0.08797,0.0,0.03432,0.02245,0.0,0.0,0.0,0.0,0.0,0.0,0.00829,0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus,0.07502,0.45357,0.28614,0.00152,0.03243,0.0,0.20241,0.00814,0.61029,0.02245,0.0,0.0,0.00234,0.0,1.04302,0.05921,0.0,0.0,0.09829,0.00241,0.0,0.0,0.02493,0.01046,0.0,0.0153,0.15502
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium,0.45525,0.11556,1.1697,0.99568,0.6935,0.78014,0.0,0.78424,0.07245,0.19065,0.9419,0.42299,0.25262,1.34328,1.24449,2.78664,0.16904,0.78647,1.87173,0.23528,0.0224,0.56331,0.71544,0.34921,0.35559,0.2627,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium,0.0,3.13861,0.03667,0.32501,0.0,0.0,0.0,0.01069,0.0,0.0,0.00948,0.00576,0.09778,0.0,0.0,0.0,0.00225,0.0,0.0,0.06127,0.01908,0.0,0.0,0.0,0.0,0.01491,7.26559
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Flavonifractor,0.0,4.15092,0.29832,0.26325,0.01877,0.0,0.0,0.3959,0.00655,0.14568,1.42151,0.14437,1.04796,0.01306,0.0,0.0,0.33368,0.05225,0.35279,0.38414,0.43687,0.19673,0.1319,0.02893,0.05344,0.10256,5.7482
